n_samples,n_features,log_n_samples,samples_to_features_ratio,n_numeric_features,n_categorical_features,numeric_ratio,categorical_ratio,missing_ratio,mean_abs_skewness,mean_abs_kurtosis,mean_abs_correlation,mean_feature_std,n_classes,class_entropy,class_imbalance_ratio,target_is_classification,dataset_name,best_algorithm,best_score,all_scores,target_skewness
150,4,5.017279836814924,37.5,4,0,1.0,0.0,0.0,0.2529318871876416,0.8807551239795576,0.5941160257601554,0.9478670787835934,3,1.584962500721156,1.0,1,iris,KNN,0.9666499582289056,"{'LogisticRegression': np.float64(0.9665152780942254), 'DecisionTree': np.float64(0.9531151110098477), 'RandomForest': np.float64(0.9464317359054201), 'GradientBoosting': np.float64(0.9531151110098477), 'KNN': np.float64(0.9666499582289056), 'SVM': np.float64(0.9665152780942254), 'NaiveBayes': np.float64(0.9465329991645781)}",
178,13,5.187385805840755,13.692307692307692,13,0,1.0,0.0,0.0,0.4325480594191304,0.7582246604867208,0.30495748135034884,26.17778523132608,3,1.5668222768551812,1.4791666666666665,1,wine,RandomForest,0.9775191064079953,"{'LogisticRegression': np.float64(0.9553551357688763), 'DecisionTree': np.float64(0.8927323571074195), 'RandomForest': np.float64(0.9775191064079953), 'GradientBoosting': np.float64(0.9204568080450158), 'KNN': np.float64(0.6657720730905848), 'SVM': np.float64(0.6484379408503305), 'NaiveBayes': np.float64(0.9719456585640162)}",
569,30,6.345636360828596,18.966666666666665,30,0,1.0,0.0,0.0,1.7404066998407544,7.85043770365579,0.3948966255659125,34.90471860323657,2,0.9526351224018599,1.6839622641509435,1,breast_cancer,RandomForest,0.9559889049661529,"{'LogisticRegression': np.float64(0.9452249111681056), 'DecisionTree': np.float64(0.9096714952845628), 'RandomForest': np.float64(0.9559889049661529), 'GradientBoosting': np.float64(0.9485677190586642), 'KNN': np.float64(0.9345210058251446), 'SVM': np.float64(0.9115351752099639), 'NaiveBayes': np.float64(0.9379360895628143)}",
1797,64,7.494430215031565,28.078125,64,0,1.0,0.0,0.0,4.667465092281429,106.1950847628477,0.11143107288123773,3.684031635638865,10,3.3217753538402386,1.0517241379310345,1,digits,SVM,0.9877270959236801,"{'LogisticRegression': np.float64(0.9666096946089409), 'DecisionTree': np.float64(0.8550936902988614), 'RandomForest': np.float64(0.978310842751517), 'GradientBoosting': np.float64(0.9638858804725399), 'KNN': np.float64(0.9871458507906171), 'SVM': np.float64(0.9877270959236801), 'NaiveBayes': np.float64(0.8467467392120254)}",
200,5,5.303304908059076,40.0,5,0,1.0,0.0,0.0,0.3085518758379179,0.3104241460353265,0.13335186697280826,1.19207542957967,2,0.9999278640456616,1.02020202020202,1,synthetic_clf_0,LogisticRegression,0.9147384736216573,"{'LogisticRegression': np.float64(0.9147384736216573), 'DecisionTree': np.float64(0.8693322108245832), 'RandomForest': np.float64(0.8942765567051325), 'GradientBoosting': np.float64(0.8842522318645554), 'KNN': np.float64(0.8892280680588531), 'SVM': np.float64(0.9095436212572074), 'NaiveBayes': np.float64(0.8688848809035628)}",
1000,20,6.90875477931522,50.0,20,0,1.0,0.0,0.0,0.11295512616633716,0.15277363859779508,0.04640962174650538,1.1520767806796572,2,0.5059192440727412,7.928571428571429,1,synthetic_clf_1,SVM,0.9426192241063985,"{'LogisticRegression': np.float64(0.9328047921816818), 'DecisionTree': np.float64(0.9091150195977817), 'RandomForest': np.float64(0.8768720811440811), 'GradientBoosting': np.float64(0.9392046560480065), 'KNN': np.float64(0.8983881754575462), 'SVM': np.float64(0.9426192241063985), 'NaiveBayes': np.float64(0.8562255336566567)}",
500,50,6.2166061010848646,10.0,50,0,1.0,0.0,0.0,0.11025809030053178,0.17978745840176846,0.03887786599942273,1.2140566436704807,3,1.5847487544096037,1.0429447852760736,1,synthetic_clf_2,SVM,0.7737059953117617,"{'LogisticRegression': np.float64(0.5612910741632526), 'DecisionTree': np.float64(0.5531492115356101), 'RandomForest': np.float64(0.6665477147751593), 'GradientBoosting': np.float64(0.6669669804402877), 'KNN': np.float64(0.7250790723645342), 'SVM': np.float64(0.7737059953117617), 'NaiveBayes': np.float64(0.5980862821106119)}",
3000,10,8.006700845440367,300.0,10,0,1.0,0.0,0.0,0.10898397173278147,0.13964967607537754,0.10387535337405056,1.7219443742016853,2,1.0,1.0,1,synthetic_clf_3,SVM,0.9633287525649668,"{'LogisticRegression': np.float64(0.8545819006874205), 'DecisionTree': np.float64(0.8726444843295346), 'RandomForest': np.float64(0.9383235308413571), 'GradientBoosting': np.float64(0.9236557454776106), 'KNN': np.float64(0.9623308634193336), 'SVM': np.float64(0.9633287525649668), 'NaiveBayes': np.float64(0.829162822391558)}",
150,100,5.017279836814924,1.5,100,0,1.0,0.0,0.0,0.14679707859441846,0.271681577670779,0.06615676157213127,1.2040358465332819,2,0.7478061583312325,3.6874999999999996,1,synthetic_clf_4,KNN,0.842464500951896,"{'LogisticRegression': np.float64(0.8299798149562856), 'DecisionTree': np.float64(0.7330962962962964), 'RandomForest': np.float64(0.7070561199806482), 'GradientBoosting': np.float64(0.7321235446517049), 'KNN': np.float64(0.842464500951896), 'SVM': np.float64(0.735394060865759), 'NaiveBayes': np.float64(0.7554974358974359)}",
800,15,6.68586094706836,53.333333333333336,15,0,1.0,0.0,0.0,0.11781207336084337,0.12349507887626082,0.036473892401700576,1.1435018474006422,4,1.9999639320228308,1.02020202020202,1,synthetic_clf_5,SVM,0.6817767735360312,"{'LogisticRegression': np.float64(0.5402422663407329), 'DecisionTree': np.float64(0.6142791318475309), 'RandomForest': np.float64(0.6638042508064219), 'GradientBoosting': np.float64(0.6550998559927119), 'KNN': np.float64(0.5856224088110166), 'SVM': np.float64(0.6817767735360312), 'NaiveBayes': np.float64(0.5218431210184848)}",
